g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
3 4	0 0	1 2	7 10	5 8	4 7	4 6	0 1	0 1	4 6	0 0	8 12	18 18	30 30	61 61	3 3	15 15	6691 6691	12 12	4 4	2 2	0 1	0 1	0 1	4 6	1 2	154392 231588	
3 4	0 1	0 0	4 6	1 2	0 1	1 2	0 0	2 3	0 1	1 1	16 24	40 40	78 78	153 153	9 9	1 1	16021 16021	9 9	5 5	2 2	0 1	4 6	1 2	4 6	2 3	163173 244760	
3 4	3 4	0 1	8 12	8 12	6 9	3 4	2 3	4 7	3 4	0 0	3 4	24 24	49 49	81 81	4 4	41 41	9053 9053	6 6	4 4	2 2	1 2	1 2	3 4	4 6	0 1	81855 122782	
3 4	1 2	1 2	4 7	2 3	2 3	4 6	0 0	4 6	1 2	0 0	7 10	19 19	49 49	74 74	4 4	41 41	7713 7713	13 13	3 3	1 1	2 3	3 4	2 3	3 4	1 2	131664 197497	
0 1	2 3	0 0	5 8	4 6	4 6	1 2	0 0	4 7	0 1	0 0	0 1	17 17	32 32	65 65	2 2	43 43	5384 5384	2 2	1 1	5 5	0 1	2 3	3 4	1 2	0 1	89753 134630	
2 3	1 2	2 3	2 3	7 10	3 4	0 1	0 1	4 6	2 3	1 1	21 32	23 23	56 56	86 86	5 5	28 28	9434 9434	18 18	4 4	1 1	4 6	3 4	3 4	1 2	3 4	284032 426049	
2 3	1 2	0 1	4 7	7 10	1 2	1 2	0 1	5 8	2 3	0 0	4 6	50 50	96 96	185 185	9 9	9 9	18325 18325	3 3	1 1	5 5	3 4	2 3	3 4	2 3	0 1	80000 120000	
1 2	3 4	3 4	1 2	5 8	2 3	0 0	0 0	4 6	4 6	1 1	12 19	21 21	35 35	65 65	4 4	11 11	8006 8006	8 8	4 4	5 5	4 6	1 2	4 6	2 3	2 3	172659 258988	
0 0	2 3	2 3	4 7	3 4	8 12	3 4	2 3	4 6	4 6	1 1	14 21	28 28	55 55	110 110	6 6	31 31	12453 12453	14 14	3 3	3 3	2 3	0 1	0 1	1 2	2 3	178444 267666	
2 3	0 0	0 0	3 4	6 9	1 2	4 6	1 2	5 8	1 2	0 0	4 7	9 9	30 30	60 60	2 2	43 43	4275 4275	1 1	1 1	4 4	1 2	2 3	4 6	4 6	0 1	93481 140222	
3 4	0 1	0 0	8 12	1 2	7 10	3 4	2 3	3 4	1 2	0 0	8 13	11 11	5 5	41 41	0 0	46 46	2732 2732	5 5	5 5	2 2	2 3	2 3	2 3	0 1	1 2	119523 179284	
0 0	1 2	3 4	7 10	4 6	5 8	0 0	3 4	4 6	0 1	0 0	4 7	32 32	52 52	125 125	6 6	38 38	11989 11989	1 1	2 2	3 3	3 4	3 4	1 2	2 3	0 1	80000 120000	
1 2	1 2	0 1	4 7	7 10	2 3	2 3	2 3	4 6	2 3	1 1	16 25	27 27	51 51	85 85	4 4	27 27	9353 9353	10 10	4 4	1 1	3 4	0 1	0 1	0 1	3 4	238757 358136	
1 2	3 4	3 4	4 6	4 6	7 10	4 6	1 2	0 1	1 2	0 0	11 16	40 40	72 72	171 171	8 8	32 32	15665 15665	11 11	4 4	3 3	1 2	2 3	1 2	4 6	1 2	130120 195181	
1 2	2 3	2 3	6 9	2 3	2 3	4 6	1 2	6 9	0 1	1 1	14 21	47 47	86 86	168 168	9 9	38 38	17447 17447	10 10	1 1	1 1	0 1	3 4	4 6	0 1	2 3	189080 283620	
0 0	0 1	1 2	7 10	5 8	7 10	4 6	1 2	2 3	2 3	0 0	7 10	43 43	79 79	162 162	7 7	13 13	15175 15175	7 7	4 4	2 2	1 2	2 3	2 3	1 2	0 1	80000 120000	
3 4	3 4	1 2	5 8	7 10	1 2	0 0	0 1	3 4	3 4	1 1	19 28	16 16	22 22	41 41	3 3	14 14	4886 4886	10 10	4 4	1 1	3 4	2 3	3 4	0 1	3 4	250126 375189	
2 3	0 0	1 2	0 1	6 9	4 7	2 3	0 0	1 2	1 2	1 1	18 27	3 3	14 14	29 29	1 1	10 10	1004 1004	4 4	2 2	5 5	1 2	2 3	3 4	4 6	3 4	268776 403165	
1 2	0 1	1 2	6 9	6 9	7 10	0 1	1 2	6 9	3 4	0 0	1 2	17 17	42 42	76 76	4 4	49 49	8043 8043	6 6	2 2	5 5	0 1	1 2	3 4	0 1	0 1	92024 138036	
0 0	0 0	1 2	2 3	3 4	0 1	0 1	0 1	4 7	0 1	0 0	4 6	36 36	73 73	154 154	7 7	22 22	15100 15100	3 3	1 1	1 1	4 6	4 6	3 4	3 4	0 1	80000 120000	
2 3	1 2	0 0	6 9	5 8	6 9	0 0	3 4	1 2	0 1	1 1	12 19	6 6	10 10	10 10	0 0	40 40	1226 1226	9 9	5 5	5 5	4 6	1 2	0 1	1 2	2 3	192800 289200	
0 0	0 0	0 1	6 9	4 7	8 12	0 0	0 0	2 3	1 2	0 0	6 9	31 31	62 62	145 145	6 6	39 39	14180 14180	14 14	5 5	5 5	2 3	4 6	3 4	2 3	1 2	147242 220863	
0 0	0 1	0 0	2 3	4 6	3 4	0 1	0 0	4 6	2 3	1 1	15 22	6 6	15 15	20 20	1 1	49 49	1405 1405	6 6	2 2	3 3	0 1	1 2	0 1	2 3	2 3	182408 273612	
1 2	3 4	0 0	4 7	4 6	7 10	0 0	0 0	3 4	3 4	1 1	20 31	32 32	55 55	107 107	6 6	46 46	11486 11486	5 5	3 3	5 5	0 1	3 4	3 4	2 3	3 4	277026 415539	
2 3	0 0	1 2	2 3	7 10	1 2	1 2	0 1	3 4	1 2	0 0	0 1	45 45	90 90	200 200	10 10	31 31	19697 19697	6 6	2 2	2 2	2 3	4 6	2 3	3 4	0 1	80000 120000	
0 1	0 0	1 2	2 3	7 10	1 2	0 0	1 2	4 6	1 2	0 0	9 14	7 7	19 19	31 31	3 3	41 41	4792 4792	6 6	5 5	4 4	0 1	2 3	1 2	0 1	1 2	134768 202153	
0 0	0 0	0 0	3 4	5 8	5 8	0 0	0 1	1 2	1 2	1 1	10 15	21 21	52 52	105 105	5 5	9 9	9995 9995	7 7	4 4	5 5	1 2	3 4	0 1	0 1	2 3	170956 256435	
1 2	0 0	3 4	3 4	3 4	4 7	1 2	1 2	1 2	1 2	0 0	4 7	43 43	80 80	148 148	8 8	16 16	15589 15589	7 7	1 1	1 1	0 1	4 6	4 6	0 1	0 1	80000 120000	
2 3	2 3	0 1	5 8	5 8	4 6	0 1	3 4	5 8	3 4	1 1	17 26	4 4	9 9	27 27	2 2	15 15	3455 3455	13 13	4 4	3 3	2 3	0 1	0 1	2 3	3 4	270876 406314	
2 3	0 0	3 4	2 3	4 7	1 2	3 4	0 1	6 9	4 6	1 1	18 27	47 47	99 99	176 176	9 9	40 40	18404 18404	11 11	3 3	5 5	1 2	0 1	3 4	0 1	3 4	234856 352285	
2 3	1 2	2 3	0 1	3 4	1 2	3 4	3 4	5 8	3 4	0 0	10 15	9 9	4 4	21 21	1 1	9 9	1872 1872	0 0	2 2	1 1	2 3	2 3	1 2	2 3	1 2	128397 192596	
0 0	2 3	0 0	5 8	8 12	0 1	1 2	1 2	1 2	0 1	1 1	23 34	0 0	2 2	10 10	0 0	38 38	372 372	6 6	5 5	4 4	4 6	1 2	4 6	1 2	4 6	320000 480000	
2 3	3 4	2 3	1 2	3 4	4 6	0 1	0 1	3 4	3 4	0 0	4 6	1 1	2 2	10 10	1 1	31 31	414 414	10 10	1 1	1 1	2 3	1 2	2 3	4 6	0 1	80000 120000	
0 0	1 2	3 4	2 3	6 9	5 8	1 2	1 2	3 4	0 1	0 0	8 12	35 35	65 65	130 130	6 6	2 2	12315 12315	19 19	1 1	4 4	4 6	0 1	1 2	4 6	0 1	80000 120000	
3 4	3 4	1 2	0 1	5 8	4 6	1 2	0 1	5 8	0 1	1 1	17 26	40 40	70 70	134 134	7 7	45 45	15068 15068	14 14	5 5	1 1	2 3	0 1	0 1	1 2	2 3	177622 266433	
2 3	2 3	0 1	0 1	5 8	5 8	0 0	3 4	2 3	2 3	0 0	10 15	11 11	17 17	28 28	2 2	8 8	2729 2729	7 7	4 4	4 4	2 3	2 3	3 4	0 1	1 2	103872 155809	
1 2	0 1	3 4	4 7	7 10	6 9	4 6	1 2	6 9	1 2	1 1	16 24	37 37	79 79	152 152	9 9	41 41	15888 15888	19 19	4 4	3 3	0 1	2 3	0 1	2 3	3 4	287538 431307	
0 1	0 1	0 1	4 7	2 3	6 9	0 0	2 3	6 9	0 1	1 1	16 24	38 38	83 83	166 166	7 7	37 37	14972 14972	7 7	2 2	3 3	3 4	0 1	0 1	3 4	3 4	226030 339045	
0 1	1 2	0 0	8 12	5 8	4 7	0 0	2 3	0 1	0 1	0 0	8 13	7 7	7 7	43 43	2 2	16 16	2860 2860	9 9	3 3	5 5	2 3	0 1	3 4	4 6	0 1	80000 120000	
2 3	0 1	2 3	4 6	4 6	5 8	2 3	2 3	0 1	1 2	0 0	12 18	1 1	2 2	10 10	1 1	6 6	779 779	5 5	5 5	3 3	4 6	0 1	0 1	3 4	1 2	98846 148269	
1 2	0 0	1 2	7 10	1 2	8 12	3 4	0 1	6 9	0 1	1 1	14 21	38 38	65 65	156 156	7 7	33 33	14291 14291	17 17	4 4	2 2	4 6	0 1	0 1	3 4	2 3	218020 327030	
1 2	2 3	3 4	4 6	2 3	1 2	3 4	0 1	4 6	1 2	0 0	8 12	48 48	88 88	162 162	8 8	49 49	17834 17834	0 0	5 5	3 3	2 3	3 4	4 6	4 6	1 2	124213 186320	
3 4	0 0	1 2	1 2	7 10	4 6	1 2	1 2	2 3	4 6	0 0	8 12	45 45	94 94	186 186	9 9	36 36	19771 19771	4 4	5 5	3 3	1 2	3 4	2 3	3 4	1 2	131760 197640	
3 4	1 2	0 1	6 9	7 10	4 7	0 1	0 1	6 9	4 6	1 1	24 36	37 37	80 80	170 170	7 7	1 1	15199 15199	17 17	4 4	3 3	2 3	4 6	0 1	4 6	4 6	320000 480000	
1 2	0 0	2 3	1 2	4 7	6 9	4 6	0 1	2 3	2 3	0 0	6 9	5 5	2 2	10 10	0 0	5 5	387 387	17 17	2 2	4 4	4 6	2 3	2 3	1 2	1 2	157937 236906	
1 2	3 4	0 0	2 3	7 10	2 3	4 6	3 4	5 8	1 2	1 1	16 24	29 29	53 53	80 80	5 5	6 6	9990 9990	1 1	5 5	5 5	1 2	2 3	2 3	1 2	2 3	193936 290905	
0 1	1 2	1 2	8 12	4 6	1 2	0 1	3 4	4 7	3 4	0 0	8 12	31 31	73 73	130 130	7 7	27 27	13355 13355	17 17	2 2	1 1	1 2	0 1	1 2	0 1	1 2	96589 144884	
3 4	2 3	2 3	1 2	4 6	4 6	0 0	0 0	6 9	0 1	0 0	5 8	0 0	3 3	10 10	0 0	12 12	136 136	13 13	4 4	4 4	1 2	1 2	3 4	1 2	0 1	81417 122126	
2 3	1 2	1 2	1 2	4 6	0 1	3 4	3 4	3 4	4 6	1 1	18 27	31 31	69 69	118 118	7 7	2 2	13183 13183	6 6	1 1	1 1	3 4	3 4	4 6	1 2	3 4	242218 363327	
3 4	1 2	1 2	3 4	4 6	2 3	0 1	3 4	1 2	3 4	1 1	12 19	42 42	89 89	172 172	9 9	13 13	17481 17481	14 14	4 4	2 2	1 2	1 2	1 2	2 3	2 3	177529 266294	
3 4	3 4	1 2	2 3	6 9	7 10	0 0	0 1	4 6	0 1	1 1	17 26	16 16	31 31	50 50	2 2	48 48	4807 4807	13 13	5 5	3 3	2 3	4 6	2 3	0 1	2 3	205961 308942	
1 2	0 1	3 4	0 1	5 8	3 4	0 0	3 4	1 2	3 4	0 0	6 9	4 4	15 15	37 37	1 1	6 6	1991 1991	15 15	4 4	1 1	0 1	0 1	1 2	3 4	0 1	80000 120000	
3 4	3 4	0 0	0 1	3 4	1 2	0 1	0 0	4 6	2 3	1 1	19 28	16 16	30 30	56 56	3 3	2 2	6339 6339	11 11	5 5	3 3	2 3	1 2	0 1	3 4	3 4	259033 388550	
1 2	3 4	0 0	3 4	4 6	0 1	1 2	0 1	1 2	0 1	0 0	8 12	37 37	84 84	174 174	9 9	35 35	15882 15882	10 10	1 1	5 5	4 6	4 6	4 6	3 4	1 2	111133 166700	
3 4	2 3	0 1	7 10	2 3	2 3	0 1	0 0	4 6	4 6	0 0	4 7	10 10	15 15	13 13	1 1	37 37	3306 3306	18 18	5 5	4 4	4 6	2 3	2 3	4 6	0 1	80000 120000	
2 3	2 3	0 0	1 2	1 2	6 9	3 4	0 0	2 3	2 3	1 1	22 33	19 19	39 39	80 80	4 4	48 48	8011 8011	13 13	3 3	3 3	0 1	0 1	0 1	0 1	4 6	300111 450166	
1 2	0 1	0 0	5 8	6 9	4 6	0 1	2 3	4 6	2 3	0 0	8 12	41 41	87 87	152 152	7 7	29 29	15844 15844	17 17	1 1	4 4	0 1	1 2	1 2	1 2	1 2	99915 149872	
1 2	0 0	3 4	5 8	2 3	2 3	0 1	1 2	0 1	3 4	0 0	2 3	0 0	2 2	10 10	0 0	41 41	558 558	13 13	4 4	4 4	4 6	1 2	2 3	2 3	0 1	80000 120000	
3 4	0 0	1 2	5 8	2 3	3 4	1 2	1 2	1 2	0 1	0 0	8 12	20 20	39 39	69 69	4 4	11 11	7406 7406	0 0	5 5	2 2	3 4	3 4	2 3	3 4	1 2	110980 166470	
3 4	0 0	0 1	5 8	4 6	8 12	3 4	0 0	4 6	0 1	0 0	12 19	38 38	76 76	133 133	7 7	7 7	14795 14795	2 2	3 3	4 4	3 4	2 3	3 4	1 2	1 2	139551 209326	
1 2	2 3	2 3	4 6	5 8	7 10	3 4	0 0	2 3	0 1	0 0	8 13	7 7	13 13	48 48	1 1	47 47	3702 3702	10 10	5 5	2 2	4 6	0 1	4 6	1 2	1 2	146216 219324	
0 1	0 1	3 4	0 1	4 6	2 3	3 4	2 3	4 7	2 3	0 0	8 13	14 14	16 16	41 41	1 1	49 49	4548 4548	3 3	4 4	5 5	4 6	3 4	2 3	3 4	1 2	109875 164812	
3 4	3 4	0 0	4 7	8 12	3 4	4 6	0 0	3 4	0 1	1 1	20 31	41 41	92 92	178 178	9 9	36 36	18256 18256	19 19	2 2	5 5	3 4	4 6	0 1	4 6	4 6	301508 452262	
3 4	1 2	3 4	1 2	4 6	0 1	4 6	2 3	6 9	4 6	0 0	12 19	22 22	58 58	113 113	5 5	49 49	10158 10158	19 19	4 4	2 2	2 3	4 6	1 2	3 4	1 2	118829 178244	
0 0	2 3	2 3	4 7	2 3	0 1	0 0	1 2	6 9	3 4	0 0	9 14	11 11	29 29	56 56	3 3	45 45	4822 4822	17 17	2 2	2 2	3 4	3 4	2 3	1 2	1 2	131581 197372	
1 2	3 4	0 1	7 10	3 4	3 4	2 3	1 2	5 8	4 6	1 1	22 33	40 40	90 90	168 168	8 8	46 46	16703 16703	3 3	3 3	4 4	4 6	3 4	4 6	2 3	3 4	265678 398517	
3 4	0 1	2 3	4 6	4 6	3 4	0 1	3 4	3 4	2 3	0 0	0 1	15 15	36 36	61 61	4 4	18 18	7160 7160	14 14	5 5	2 2	3 4	3 4	2 3	1 2	0 1	80000 120000	
3 4	2 3	1 2	5 8	6 9	1 2	2 3	2 3	0 1	2 3	0 0	9 14	44 44	77 77	185 185	8 8	5 5	16900 16900	18 18	1 1	3 3	0 1	4 6	3 4	4 6	1 2	144219 216328	
1 2	2 3	1 2	6 9	1 2	6 9	3 4	3 4	6 9	0 1	1 1	12 19	10 10	10 10	18 18	2 2	2 2	2306 2306	14 14	4 4	1 1	2 3	3 4	0 1	0 1	2 3	169639 254458	
1 2	3 4	3 4	2 3	1 2	8 12	0 1	0 1	0 1	1 2	0 0	0 1	4 4	2 2	26 26	0 0	27 27	1127 1127	17 17	1 1	5 5	2 3	3 4	0 1	0 1	0 1	80000 120000	
1 2	3 4	3 4	4 7	3 4	1 2	0 0	3 4	4 7	4 6	1 1	23 34	22 22	41 41	57 57	3 3	33 33	7047 7047	8 8	4 4	1 1	0 1	1 2	3 4	3 4	3 4	255235 382852	
3 4	0 1	0 1	5 8	7 10	1 2	0 1	2 3	4 7	4 6	1 1	12 18	14 14	23 23	40 40	3 3	43 43	4362 4362	2 2	5 5	5 5	4 6	1 2	1 2	2 3	2 3	160099 240148	
1 2	2 3	0 1	4 7	6 9	2 3	0 1	0 1	4 6	4 6	0 0	5 8	2 2	2 2	10 10	1 1	30 30	693 693	12 12	1 1	5 5	1 2	0 1	2 3	3 4	0 1	80000 120000	
0 1	2 3	0 0	0 1	3 4	6 9	0 0	3 4	5 8	0 1	1 1	22 33	42 42	89 89	185 185	8 8	34 34	18096 18096	12 12	5 5	3 3	3 4	4 6	3 4	2 3	3 4	256020 384030	
1 2	0 1	1 2	8 12	5 8	8 12	1 2	3 4	5 8	3 4	1 1	18 27	28 28	41 41	76 76	4 4	9 9	9217 9217	6 6	2 2	4 4	3 4	1 2	2 3	2 3	3 4	269785 404678	
0 1	2 3	2 3	0 1	1 2	0 1	3 4	3 4	6 9	2 3	1 1	16 25	28 28	57 57	112 112	6 6	3 3	11802 11802	5 5	4 4	1 1	3 4	3 4	2 3	0 1	2 3	195256 292884	
2 3	3 4	0 1	6 9	3 4	4 7	3 4	0 0	6 9	3 4	0 0	6 9	44 44	84 84	189 189	8 8	37 37	17069 17069	1 1	5 5	2 2	4 6	3 4	2 3	0 1	1 2	154027 231040	
2 3	0 1	0 0	6 9	4 7	0 1	0 0	3 4	0 1	1 2	1 1	12 19	45 45	90 90	200 200	10 10	36 36	19337 19337	1 1	1 1	2 2	0 1	0 1	4 6	3 4	2 3	216407 324610	
2 3	0 0	0 1	1 2	6 9	0 1	0 0	0 1	2 3	1 2	1 1	21 32	12 12	18 18	25 25	1 1	24 24	2898 2898	16 16	5 5	3 3	1 2	3 4	0 1	1 2	3 4	247169 370754	
0 0	3 4	0 0	4 6	8 12	6 9	1 2	3 4	4 7	3 4	0 0	8 13	42 42	83 83	150 150	7 7	29 29	15529 15529	4 4	4 4	4 4	1 2	3 4	2 3	3 4	1 2	120285 180428	
