g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
0 1	3 4	1 2	1 2	1 2	3 4	3 4	3 4	4 6	0 1	0	6 9	16	43	76	5	47	8405	9	3	3	1 2	2 3	2 3	4 6	1 2	155722 233583	
3 4	1 2	2 3	3 4	6 9	5 8	4 6	3 4	1 2	3 4	1	13 20	4	2	10	0	17	2021	7	5	4	2 3	2 3	1 2	4 6	2 3	195645 293468	
2 3	0 0	3 4	6 9	2 3	1 2	1 2	0 0	3 4	3 4	1	21 32	20	37	91	5	8	9147	7	2	5	0 1	0 1	2 3	0 1	4 6	315506 473259	
3 4	3 4	0 0	4 7	2 3	0 1	0 1	0 1	4 7	2 3	0	10 15	49	80	191	9	3	18009	4	5	4	4 6	3 4	4 6	1 2	1 2	127861 191792	
0 1	3 4	0 1	4 7	8 12	0 1	1 2	1 2	1 2	2 3	1	14 21	10	24	33	2	34	3465	19	4	2	2 3	0 1	1 2	1 2	2 3	196896 295344	
2 3	2 3	2 3	6 9	6 9	3 4	3 4	0 0	0 1	3 4	0	2 3	13	35	51	2	7	5878	19	5	4	0 1	3 4	0 1	0 1	0 1	80000 120000	
0 0	0 1	2 3	8 12	5 8	4 7	0 1	1 2	6 9	1 2	0	7 10	0	6	10	0	14	474	4	4	1	1 2	0 1	0 1	2 3	0 1	80000 120000	
1 2	0 1	1 2	6 9	4 6	8 12	3 4	0 1	0 1	3 4	0	12 19	3	12	27	2	23	2705	1	5	1	3 4	1 2	1 2	4 6	1 2	103451 155176	
3 4	3 4	0 1	4 6	1 2	8 12	3 4	0 0	4 7	3 4	0	2 3	31	60	128	6	12	13102	17	3	1	0 1	2 3	2 3	4 6	0 1	80000 120000	
0 1	3 4	1 2	8 12	1 2	1 2	2 3	2 3	0 1	2 3	0	9 14	40	87	163	9	20	16501	19	5	1	2 3	2 3	3 4	2 3	1 2	110537 165806	
1 2	2 3	0 1	0 1	5 8	3 4	3 4	2 3	1 2	2 3	0	8 12	32	66	125	7	29	13041	7	5	1	2 3	1 2	2 3	3 4	1 2	121673 182510	
2 3	3 4	1 2	2 3	4 7	2 3	2 3	2 3	4 7	0 1	0	9 14	22	44	89	3	4	7061	17	2	5	0 1	2 3	1 2	3 4	1 2	99279 148918	
3 4	0 0	0 0	3 4	4 6	6 9	0 0	1 2	1 2	0 1	1	11 16	23	48	101	5	23	8571	9	2	2	0 1	1 2	4 6	3 4	2 3	198516 297774	
2 3	0 0	3 4	5 8	7 10	5 8	0 0	2 3	2 3	0 1	1	17 26	9	9	20	3	32	3357	2	3	5	4 6	2 3	1 2	3 4	3 4	272988 409483	
2 3	1 2	0 0	8 12	1 2	0 1	4 6	0 1	1 2	3 4	1	20 31	16	23	63	4	46	6273	1	2	2	0 1	3 4	2 3	4 6	3 4	279084 418627	
1 2	0 1	2 3	4 6	7 10	3 4	4 6	2 3	4 7	1 2	1	24 36	39	95	168	9	36	17429	13	5	5	1 2	3 4	0 1	3 4	4 6	320000 480000	
2 3	1 2	3 4	2 3	1 2	5 8	1 2	3 4	1 2	3 4	0	8 12	50	100	199	9	23	19679	17	2	2	2 3	1 2	0 1	1 2	0 1	80000 120000	
2 3	2 3	1 2	0 1	2 3	1 2	3 4	1 2	0 1	1 2	1	18 27	27	52	82	5	26	9627	16	4	5	2 3	2 3	2 3	1 2	2 3	209050 313575	
0 0	0 0	2 3	4 7	4 6	7 10	3 4	2 3	0 1	1 2	0	4 7	23	52	101	5	17	11063	11	2	3	0 1	2 3	3 4	2 3	0 1	80000 120000	
2 3	0 0	3 4	3 4	8 12	6 9	2 3	0 0	0 1	1 2	0	8 12	39	78	140	9	3	15766	7	1	1	3 4	0 1	4 6	1 2	0 1	80000 120000	
0 1	0 0	2 3	6 9	5 8	1 2	2 3	2 3	5 8	3 4	1	15 22	32	71	119	7	7	12952	18	2	4	0 1	3 4	2 3	3 4	2 3	216872 325308	
1 2	1 2	3 4	4 7	2 3	1 2	1 2	2 3	3 4	2 3	0	0 1	12	30	54	3	43	5501	0	5	3	0 1	3 4	0 1	1 2	0 1	83952 125928	
0 0	0 0	2 3	4 6	5 8	2 3	1 2	2 3	2 3	1 2	1	20 31	4	10	21	0	13	668	7	5	5	2 3	3 4	4 6	4 6	4 6	320000 480000	
2 3	0 0	2 3	7 10	4 7	8 12	3 4	3 4	0 1	2 3	0	12 18	20	54	74	4	7	9161	18	4	4	1 2	0 1	0 1	1 2	1 2	137960 206941	
0 1	1 2	0 0	3 4	7 10	8 12	0 0	0 0	1 2	1 2	1	21 32	14	20	39	2	50	3891	14	4	4	1 2	1 2	1 2	4 6	4 6	320000 480000	
1 2	3 4	0 1	6 9	7 10	8 12	4 6	0 1	2 3	4 6	1	17 26	18	46	71	5	29	7663	9	4	4	2 3	1 2	2 3	2 3	3 4	259140 388711	
3 4	0 0	0 1	5 8	1 2	1 2	4 6	0 0	4 6	2 3	1	12 19	6	2	10	0	11	1048	1	5	5	4 6	4 6	4 6	4 6	2 3	188246 282369	
0 1	3 4	1 2	3 4	5 8	3 4	0 1	0 0	4 7	1 2	1	16 24	18	48	103	4	6	8642	4	1	1	0 1	2 3	4 6	0 1	3 4	278829 418244	
0 1	0 1	0 1	8 12	3 4	8 12	4 6	0 1	6 9	4 6	0	6 9	29	60	152	7	21	13288	15	3	1	2 3	3 4	1 2	0 1	1 2	139480 209220	
0 1	0 1	0 1	4 6	4 6	1 2	2 3	2 3	5 8	3 4	1	10 15	33	78	133	7	37	14519	4	3	3	4 6	3 4	1 2	1 2	2 3	218390 327585	
0 1	3 4	0 1	1 2	8 12	8 12	3 4	2 3	4 6	4 6	0	7 10	32	62	143	6	8	13315	7	1	3	3 4	4 6	1 2	3 4	0 1	80000 120000	
0 1	1 2	3 4	2 3	3 4	8 12	4 6	2 3	1 2	4 6	1	12 18	48	94	176	10	9	17663	1	1	2	4 6	3 4	1 2	2 3	2 3	163718 245577	
0 1	0 1	3 4	4 6	7 10	1 2	1 2	1 2	5 8	2 3	0	7 10	29	50	102	6	11	10285	7	1	4	3 4	4 6	2 3	0 1	1 2	119252 178878	
1 2	0 0	0 1	3 4	8 12	2 3	0 1	1 2	2 3	3 4	0	6 9	26	62	106	6	44	12014	17	3	1	2 3	4 6	1 2	3 4	0 1	80000 120000	
0 1	0 1	3 4	2 3	5 8	7 10	3 4	3 4	4 7	2 3	0	4 7	21	31	71	3	22	6826	5	3	5	2 3	3 4	0 1	4 6	0 1	80000 120000	
3 4	3 4	2 3	0 1	4 7	4 6	1 2	0 0	5 8	0 1	0	5 8	1	12	22	1	48	1324	11	3	5	1 2	3 4	0 1	1 2	0 1	80000 120000	
3 4	2 3	2 3	0 1	1 2	6 9	1 2	0 1	4 7	1 2	1	12 19	4	18	29	1	18	1835	11	2	5	4 6	0 1	1 2	1 2	2 3	190536 285805	
1 2	3 4	0 1	8 12	5 8	6 9	0 0	1 2	1 2	3 4	1	23 34	8	4	10	2	3	1847	2	5	4	3 4	3 4	4 6	0 1	3 4	280032 420049	
0 0	1 2	2 3	4 7	4 6	4 7	2 3	0 1	4 6	1 2	1	14 21	46	90	180	9	11	18757	14	5	2	0 1	1 2	2 3	0 1	2 3	189779 284668	
0 0	0 0	2 3	4 6	3 4	5 8	0 1	1 2	4 6	4 6	0	1 2	0	12	13	1	46	983	15	2	5	0 1	1 2	1 2	1 2	0 1	80000 120000	
2 3	2 3	3 4	1 2	8 12	3 4	0 1	0 1	4 7	2 3	0	12 19	8	15	31	3	26	4649	15	5	2	3 4	0 1	0 1	1 2	1 2	154947 232420	
1 2	0 1	1 2	8 12	2 3	5 8	0 0	0 1	4 7	2 3	1	20 30	0	12	21	0	17	508	8	3	2	2 3	0 1	0 1	4 6	4 6	320000 480000	
0 1	0 1	3 4	1 2	2 3	1 2	0 0	0 0	0 1	4 6	0	5 8	50	87	200	9	40	19105	13	4	4	0 1	1 2	2 3	3 4	0 1	80624 120936	
0 0	1 2	2 3	2 3	4 7	4 6	0 0	2 3	5 8	1 2	1	17 26	0	10	22	1	47	356	13	3	5	4 6	0 1	4 6	1 2	2 3	222965 334448	
0 0	0 0	1 2	5 8	2 3	0 1	3 4	0 1	4 7	3 4	0	4 6	39	74	172	8	13	15583	16	4	4	1 2	3 4	2 3	0 1	0 1	91360 137040	
3 4	3 4	1 2	4 6	4 6	7 10	1 2	2 3	2 3	0 1	0	11 16	9	27	50	3	26	5184	3	1	1	1 2	0 1	4 6	3 4	1 2	156744 235116	
1 2	0 1	1 2	6 9	3 4	4 6	3 4	3 4	3 4	0 1	0	9 14	9	29	51	3	47	5712	12	2	3	1 2	1 2	4 6	2 3	1 2	155200 232801	
3 4	1 2	0 1	1 2	8 12	5 8	0 1	2 3	4 6	3 4	0	12 19	10	19	25	2	12	4020	13	1	3	2 3	2 3	3 4	0 1	1 2	140394 210591	
1 2	0 1	2 3	3 4	3 4	5 8	1 2	0 0	6 9	4 6	1	19 28	15	12	39	2	48	3921	0	5	2	2 3	4 6	2 3	2 3	3 4	272671 409006	
0 1	0 1	0 1	4 6	1 2	4 6	1 2	0 0	4 6	1 2	1	15 22	11	6	35	1	49	2870	5	2	4	1 2	2 3	1 2	4 6	2 3	183924 275887	
0 1	0 1	0 1	6 9	8 12	3 4	3 4	1 2	2 3	4 6	1	24 36	10	27	59	1	47	3958	0	2	2	0 1	3 4	3 4	2 3	4 6	320000 480000	
2 3	0 1	2 3	4 7	7 10	2 3	0 1	0 1	6 9	1 2	0	3 4	34	66	137	7	36	14812	13	3	4	0 1	1 2	1 2	0 1	0 1	80000 120000	
0 0	2 3	0 1	5 8	4 6	3 4	4 6	2 3	2 3	0 1	1	14 21	25	62	128	6	26	11098	11	3	3	1 2	1 2	3 4	1 2	2 3	165060 247591	
2 3	0 0	0 0	0 1	5 8	5 8	0 1	1 2	4 6	2 3	1	13 20	3	2	22	0	16	331	10	3	1	3 4	3 4	2 3	4 6	2 3	185544 278317	
0 0	2 3	0 1	2 3	8 12	4 7	1 2	0 0	1 2	1 2	1	11 16	48	98	200	9	24	19738	7	5	4	1 2	3 4	3 4	3 4	2 3	172092 258139	
1 2	1 2	2 3	1 2	2 3	0 1	3 4	1 2	0 1	0 1	1	20 31	0	2	10	0	43	324	12	1	5	2 3	3 4	4 6	4 6	4 6	318558 477837	
0 1	3 4	1 2	8 12	2 3	4 7	1 2	0 1	4 6	3 4	0	2 3	18	41	73	4	1	7076	3	3	4	1 2	0 1	1 2	0 1	0 1	80000 120000	
2 3	3 4	2 3	3 4	1 2	2 3	0 0	1 2	5 8	1 2	0	6 9	9	31	58	2	35	4485	16	4	5	2 3	4 6	1 2	4 6	0 1	84076 126114	
3 4	3 4	0 0	4 6	4 6	5 8	0 1	0 1	3 4	0 1	0	4 6	5	9	39	0	14	2002	1	4	2	1 2	1 2	4 6	0 1	0 1	84176 126264	
3 4	0 0	3 4	5 8	3 4	7 10	2 3	0 0	5 8	4 6	1	10 15	41	84	150	7	1	15751	18	4	2	1 2	3 4	3 4	2 3	2 3	163616 245424	
1 2	0 0	1 2	6 9	4 6	2 3	3 4	1 2	0 1	1 2	1	14 21	45	98	184	10	9	18690	6	3	4	3 4	1 2	2 3	2 3	2 3	197151 295726	
2 3	0 0	3 4	7 10	7 10	4 7	1 2	0 0	5 8	3 4	0	2 3	19	27	69	4	5	5998	12	5	3	2 3	3 4	4 6	0 1	0 1	80000 120000	
3 4	0 1	3 4	7 10	1 2	5 8	0 1	1 2	4 6	2 3	0	4 7	19	28	68	4	8	7070	10	1	4	3 4	1 2	2 3	4 6	0 1	88966 133449	
0 0	1 2	0 0	6 9	5 8	7 10	0 0	3 4	0 1	2 3	1	19 28	41	94	155	8	46	17355	5	1	4	1 2	1 2	0 1	1 2	3 4	245225 367838	
0 1	3 4	3 4	2 3	3 4	3 4	2 3	1 2	4 6	1 2	1	11 16	15	36	75	3	46	7558	3	1	4	3 4	4 6	4 6	1 2	2 3	207450 311175	
0 0	1 2	0 0	4 7	5 8	5 8	4 6	0 1	2 3	4 6	0	9 14	21	33	81	5	4	7754	13	1	5	3 4	1 2	2 3	0 1	1 2	112999 169498	
1 2	0 1	2 3	8 12	2 3	2 3	2 3	2 3	6 9	0 1	0	6 9	38	86	173	7	48	16842	10	5	4	2 3	4 6	3 4	3 4	0 1	80000 120000	
2 3	0 0	0 1	0 1	1 2	0 1	3 4	2 3	5 8	0 1	1	17 26	30	53	132	5	3	12175	17	5	4	4 6	0 1	3 4	0 1	3 4	226633 339950	
3 4	0 0	1 2	2 3	7 10	3 4	0 1	3 4	0 1	3 4	0	6 9	42	78	174	9	15	17139	1	4	2	0 1	4 6	4 6	4 6	0 1	80000 120000	
2 3	0 1	0 0	3 4	6 9	0 1	0 1	1 2	2 3	4 6	0	6 9	46	100	200	9	14	19286	15	2	4	0 1	3 4	3 4	0 1	0 1	80000 120000	
0 0	0 1	0 1	7 10	4 6	6 9	0 0	2 3	3 4	0 1	0	4 6	17	28	59	3	7	5241	6	3	5	0 1	0 1	2 3	3 4	0 1	83644 125467	
2 3	1 2	0 1	7 10	3 4	1 2	2 3	0 1	5 8	2 3	0	12 18	22	40	73	3	32	8101	17	1	2	2 3	4 6	3 4	1 2	1 2	139658 209487	
0 0	3 4	0 1	0 1	2 3	4 7	1 2	0 1	0 1	4 6	0	6 9	42	88	177	8	13	16332	10	5	5	1 2	1 2	2 3	4 6	0 1	80000 120000	
2 3	3 4	1 2	8 12	4 6	2 3	4 6	1 2	4 7	2 3	0	5 8	38	83	171	7	47	16620	14	4	1	1 2	4 6	2 3	1 2	0 1	80000 120000	
0 1	2 3	2 3	7 10	4 6	8 12	0 1	1 2	6 9	2 3	1	19 28	44	90	160	8	6	17782	1	1	4	2 3	2 3	2 3	2 3	3 4	239556 359334	
2 3	3 4	0 0	1 2	7 10	1 2	0 0	0 1	5 8	0 1	0	2 3	23	55	114	6	41	10959	3	3	5	4 6	2 3	3 4	1 2	0 1	80000 120000	
0 0	0 0	0 1	6 9	4 6	3 4	0 0	0 1	5 8	1 2	1	15 22	24	38	67	3	5	8304	7	5	4	1 2	4 6	3 4	0 1	2 3	201099 301648	
2 3	3 4	3 4	5 8	1 2	3 4	3 4	0 1	1 2	4 6	1	17 26	2	12	10	1	30	1671	9	4	4	2 3	3 4	2 3	0 1	3 4	285611 428416	
0 0	0 1	0 1	7 10	7 10	2 3	1 2	2 3	3 4	2 3	1	12 19	44	100	200	9	32	19478	3	4	1	1 2	4 6	0 1	3 4	2 3	202956 304434	
1 2	2 3	3 4	4 6	7 10	3 4	3 4	1 2	2 3	4 6	0	8 12	50	100	197	10	28	19210	0	2	2	0 1	3 4	4 6	0 1	0 1	80000 120000	
3 4	2 3	0 1	4 6	1 2	4 6	0 1	0 0	1 2	3 4	0	5 8	48	100	200	9	37	19680	5	4	1	1 2	2 3	0 1	0 1	0 1	80000 120000	
0 0	3 4	2 3	8 12	8 12	4 6	0 1	2 3	4 6	1 2	1	13 20	49	92	188	9	13	18761	8	2	3	0 1	1 2	2 3	0 1	2 3	196624 294936	
3 4	3 4	2 3	4 6	4 7	2 3	1 2	1 2	3 4	4 6	0	10 15	20	33	74	4	23	6426	5	1	1	2 3	1 2	2 3	0 1	1 2	117448 176172	
0 0	3 4	2 3	8 12	2 3	2 3	0 1	3 4	6 9	1 2	1	18 27	24	51	116	6	25	11256	16	5	5	2 3	4 6	3 4	3 4	2 3	169415 254122	
1 2	2 3	3 4	8 12	8 12	4 7	4 6	2 3	3 4	2 3	1	17 26	35	68	130	7	42	14014	18	1	1	4 6	4 6	3 4	0 1	2 3	206326 309489	
0 1	1 2	1 2	1 2	3 4	2 3	4 6	0 1	2 3	3 4	1	24 36	6	12	15	1	29	2349	11	2	1	0 1	0 1	0 1	3 4	4 6	320000 480000	
2 3	0 0	2 3	1 2	6 9	8 12	2 3	0 0	1 2	3 4	1	20 30	23	57	127	5	36	11219	6	3	3	2 3	3 4	1 2	2 3	3 4	251852 377779	
3 4	0 1	0 1	0 1	1 2	6 9	0 0	3 4	5 8	1 2	1	12 19	33	71	122	7	30	12604	0	5	1	3 4	4 6	1 2	2 3	2 3	208052 312078	
3 4	2 3	2 3	5 8	3 4	2 3	0 0	1 2	6 9	4 6	0	12 18	41	99	183	9	41	18126	19	1	4	4 6	4 6	0 1	2 3	1 2	108500 162750	
3 4	3 4	2 3	5 8	2 3	3 4	2 3	2 3	5 8	1 2	0	0 1	42	100	200	9	5	18479	18	3	1	4 6	0 1	2 3	1 2	0 1	80000 120000	
0 0	0 0	0 1	5 8	3 4	5 8	4 6	1 2	0 1	3 4	0	4 6	24	32	64	4	23	7737	8	5	2	1 2	1 2	1 2	0 1	0 1	80000 120000	
2 3	3 4	0 1	4 6	5 8	1 2	4 6	3 4	3 4	0 1	0	1 2	13	40	59	3	29	7070	10	1	1	2 3	2 3	1 2	0 1	0 1	80000 120000	
2 3	0 1	0 1	4 7	8 12	7 10	0 0	1 2	4 6	3 4	0	11 16	12	32	55	3	45	6264	19	2	5	3 4	3 4	1 2	4 6	1 2	157419 236128	
3 4	2 3	2 3	6 9	6 9	1 2	3 4	3 4	5 8	4 6	0	4 7	3	22	37	1	6	2400	14	1	1	0 1	1 2	3 4	0 1	0 1	80000 120000	
0 1	0 0	3 4	1 2	2 3	8 12	1 2	3 4	0 1	1 2	1	18 27	29	48	112	5	7	9715	10	2	2	2 3	1 2	0 1	1 2	3 4	253075 379612	
1 2	0 0	1 2	8 12	3 4	5 8	2 3	3 4	5 8	0 1	1	11 16	48	94	180	8	38	18732	3	3	5	3 4	3 4	4 6	2 3	2 3	199299 298948	
3 4	1 2	0 1	6 9	3 4	6 9	0 1	0 0	3 4	3 4	0	9 14	6	14	12	2	22	2217	7	5	5	2 3	2 3	3 4	4 6	1 2	112217 168326	
1 2	0 0	3 4	6 9	8 12	2 3	2 3	0 0	2 3	2 3	0	9 14	5	6	12	1	9	2797	5	5	3	2 3	3 4	0 1	3 4	1 2	121944 182916	
2 3	1 2	0 0	0 1	3 4	6 9	0 0	2 3	4 6	1 2	1	20 31	27	46	122	5	23	10801	6	1	1	4 6	2 3	0 1	2 3	4 6	320000 480000	
3 4	0 1	2 3	4 7	7 10	0 1	0 1	2 3	5 8	0 1	0	11 16	25	48	86	4	26	9504	6	5	5	1 2	3 4	4 6	0 1	1 2	149039 223558	
0 1	1 2	3 4	7 10	4 7	8 12	3 4	3 4	6 9	4 6	1	24 36	16	31	75	3	1	7069	2	2	2	0 1	4 6	2 3	3 4	4 6	311707 467560	
3 4	0 1	0 0	0 1	2 3	0 1	1 2	2 3	4 6	4 6	0	8 13	35	66	136	7	43	14730	3	4	1	2 3	0 1	1 2	4 6	1 2	132255 198382	
1 2	0 0	1 2	7 10	4 7	4 7	4 6	0 0	6 9	2 3	0	4 6	47	96	161	8	27	17279	5	2	1	2 3	0 1	0 1	3 4	0 1	88749 133124	
3 4	1 2	0 1	7 10	3 4	1 2	2 3	1 2	1 2	1 2	1	20 31	15	28	73	4	10	6689	11	4	5	3 4	4 6	0 1	2 3	3 4	261863 392794	
1 2	3 4	1 2	0 1	7 10	5 8	3 4	3 4	4 7	1 2	1	20 31	23	59	117	6	37	10516	11	3	1	4 6	4 6	2 3	2 3	4 6	297590 446385	
0 0	0 1	3 4	4 7	3 4	4 6	3 4	0 0	6 9	3 4	0	8 13	43	82	180	10	40	18273	0	5	1	4 6	3 4	0 1	1 2	1 2	147317 220976	
0 1	0 1	1 2	7 10	8 12	4 6	0 1	2 3	5 8	4 6	1	11 16	26	55	129	6	3	11034	5	5	2	2 3	4 6	4 6	4 6	2 3	173168 259752	
1 2	3 4	0 1	0 1	4 6	5 8	2 3	3 4	4 7	1 2	1	14 21	41	87	167	8	20	17944	6	5	4	0 1	1 2	1 2	1 2	2 3	194682 292023	
3 4	0 0	0 0	5 8	5 8	5 8	0 0	0 0	2 3	2 3	1	17 26	21	40	68	4	4	7165	2	5	1	0 1	4 6	2 3	2 3	3 4	251809 377714	
0 0	0 1	0 0	3 4	6 9	2 3	0 1	0 0	0 1	4 6	1	15 22	46	91	165	9	18	18305	3	2	2	0 1	0 1	3 4	2 3	3 4	283653 425480	
2 3	0 1	0 1	3 4	8 12	8 12	3 4	2 3	6 9	0 1	1	14 21	33	65	101	5	6	11853	7	3	3	2 3	2 3	2 3	1 2	2 3	162424 243637	
1 2	3 4	2 3	6 9	8 12	4 6	1 2	0 1	4 7	2 3	0	0 1	5	10	52	2	38	3272	8	5	5	4 6	3 4	2 3	0 1	0 1	80000 120000	
3 4	1 2	0 0	1 2	8 12	3 4	2 3	2 3	4 6	3 4	0	5 8	27	61	133	5	35	11791	11	4	3	3 4	4 6	0 1	3 4	0 1	80000 120000	
0 1	0 0	1 2	1 2	2 3	6 9	3 4	0 1	4 6	4 6	0	9 14	4	7	24	1	32	2330	6	1	4	1 2	2 3	3 4	4 6	1 2	139276 208915	
1 2	2 3	1 2	5 8	3 4	4 7	3 4	1 2	4 6	2 3	0	4 7	47	99	184	10	13	19225	11	2	1	2 3	3 4	3 4	3 4	0 1	80000 120000	
0 0	3 4	2 3	5 8	2 3	1 2	3 4	1 2	5 8	3 4	1	21 32	18	33	44	4	5	5542	17	3	3	3 4	4 6	0 1	4 6	3 4	232611 348916	
1 2	0 1	1 2	4 6	4 6	6 9	1 2	0 0	2 3	4 6	1	15 22	13	29	67	3	28	4774	1	5	2	2 3	0 1	1 2	1 2	2 3	200328 300493	
0 1	1 2	0 0	8 12	4 7	6 9	4 6	0 0	0 1	4 6	0	7 10	16	16	26	2	33	4397	2	1	5	3 4	3 4	2 3	1 2	0 1	80000 120000	
1 2	0 0	2 3	2 3	2 3	5 8	3 4	0 0	5 8	1 2	0	10 15	13	9	45	3	32	3505	17	5	4	1 2	1 2	1 2	0 1	1 2	98237 147356	
2 3	0 1	0 0	5 8	4 7	4 7	3 4	0 0	6 9	3 4	1	12 19	14	28	62	3	46	6999	15	4	5	1 2	2 3	4 6	1 2	2 3	181920 272880	
1 2	0 0	0 0	3 4	8 12	7 10	1 2	3 4	3 4	1 2	0	5 8	34	62	136	7	7	12968	20	5	3	4 6	1 2	1 2	0 1	0 1	80000 120000	
3 4	0 0	2 3	5 8	6 9	1 2	4 6	0 1	2 3	2 3	0	12 18	11	12	44	2	16	4358	17	4	5	3 4	2 3	1 2	1 2	1 2	100231 150346	
0 1	0 1	3 4	7 10	7 10	3 4	4 6	3 4	3 4	1 2	1	23 34	20	44	53	3	15	7076	10	2	5	1 2	0 1	2 3	3 4	4 6	295705 443558	
0 1	0 1	1 2	8 12	6 9	8 12	1 2	0 1	4 6	2 3	0	4 7	5	13	10	1	20	2597	0	4	3	4 6	2 3	3 4	0 1	0 1	80000 120000	
0 0	0 0	0 1	2 3	5 8	4 7	0 0	1 2	5 8	3 4	1	10 15	15	30	87	3	28	7905	11	2	4	4 6	4 6	1 2	4 6	2 3	221884 332826	
0 0	0 1	0 0	6 9	1 2	1 2	0 1	0 1	6 9	0 1	1	11 16	44	92	200	8	26	18806	19	3	3	2 3	1 2	3 4	3 4	2 3	192579 288868	
3 4	1 2	3 4	5 8	5 8	1 2	0 0	0 0	5 8	3 4	0	11 16	50	100	195	9	21	19452	7	4	2	2 3	2 3	1 2	2 3	1 2	123052 184578	
1 2	3 4	3 4	7 10	1 2	7 10	0 0	0 0	6 9	1 2	1	15 22	7	3	12	1	37	1923	18	5	3	0 1	3 4	3 4	0 1	2 3	171129 256694	
0 0	1 2	0 1	3 4	5 8	5 8	3 4	3 4	1 2	2 3	1	22 33	39	76	163	8	31	15912	6	2	3	1 2	3 4	1 2	0 1	4 6	320000 480000	
3 4	2 3	3 4	8 12	6 9	0 1	1 2	0 0	5 8	0 1	0	4 6	32	63	126	7	36	14003	10	1	5	2 3	2 3	1 2	0 1	0 1	80000 120000	
2 3	3 4	2 3	6 9	5 8	5 8	0 0	3 4	5 8	3 4	0	4 7	14	41	76	2	41	6448	6	4	3	0 1	2 3	4 6	2 3	0 1	86379 129568	
2 3	3 4	1 2	3 4	1 2	0 1	2 3	1 2	2 3	2 3	1	22 33	10	25	45	1	25	3570	3	5	3	3 4	4 6	2 3	2 3	3 4	256542 384813	
3 4	1 2	1 2	0 1	4 6	4 6	3 4	2 3	2 3	4 6	0	13 20	40	76	157	8	6	15829	6	2	2	3 4	0 1	3 4	2 3	1 2	155326 232989	
1 2	3 4	3 4	6 9	4 7	3 4	2 3	0 0	0 1	4 6	0	9 14	24	46	100	5	22	10490	15	5	2	0 1	3 4	2 3	1 2	1 2	96811 145216	
0 1	3 4	1 2	4 6	4 6	6 9	0 0	0 1	0 1	3 4	0	8 12	50	84	188	10	13	18625	15	4	1	2 3	3 4	4 6	2 3	0 1	80000 120000	
1 2	2 3	1 2	7 10	1 2	4 7	0 0	1 2	0 1	0 1	0	2 3	46	76	186	9	5	16753	5	3	5	2 3	3 4	2 3	4 6	0 1	80000 120000	
3 4	0 0	2 3	8 12	4 6	4 7	2 3	2 3	2 3	1 2	0	1 2	8	34	66	2	45	4960	6	1	3	3 4	0 1	1 2	0 1	0 1	80000 120000	
0 1	1 2	1 2	2 3	2 3	4 7	0 1	1 2	6 9	1 2	1	24 36	4	2	16	1	14	1297	2	2	2	1 2	0 1	0 1	1 2	4 6	312347 468520	
1 2	3 4	1 2	0 1	5 8	7 10	0 0	3 4	4 6	1 2	1	11 16	22	34	93	3	39	7561	5	1	4	0 1	3 4	1 2	2 3	2 3	209326 313989	
1 2	0 0	2 3	8 12	5 8	2 3	1 2	0 0	1 2	4 6	0	4 7	17	35	79	5	47	8402	17	3	2	0 1	1 2	1 2	3 4	0 1	80000 120000	
