g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
1 2	1 2	3 4	1 2	2 3	2 3	4 6	2 3	6 9	3 4	1	19 28	46	100	186	10	30	19861	9	1	1	3 4	4 6	0 1	3 4	3 4	235018 352527	
3 4	1 2	0 0	3 4	1 2	2 3	2 3	3 4	0 1	2 3	1	21 32	28	61	150	7	47	13107	8	3	1	1 2	2 3	4 6	2 3	3 4	283441 425162	
0 0	1 2	2 3	2 3	3 4	2 3	0 1	3 4	5 8	3 4	1	23 34	41	92	189	9	9	17145	1	3	1	4 6	3 4	4 6	0 1	4 6	298551 447826	
2 3	0 1	3 4	8 12	1 2	8 12	2 3	0 0	5 8	0 1	1	20 31	35	71	131	7	38	14084	17	5	1	4 6	1 2	3 4	4 6	3 4	272444 408667	
0 0	2 3	1 2	4 7	5 8	6 9	3 4	3 4	0 1	1 2	1	21 32	25	33	71	4	40	8112	8	4	3	3 4	4 6	4 6	0 1	3 4	267587 401380	
3 4	0 0	0 1	4 6	4 7	0 1	2 3	3 4	3 4	0 1	1	16 24	27	71	135	6	32	12662	0	1	3	4 6	0 1	4 6	1 2	3 4	258388 387583	
1 2	2 3	0 0	8 12	2 3	5 8	0 1	0 1	5 8	0 1	0	8 13	40	65	130	8	8	14588	8	1	3	0 1	0 1	4 6	1 2	1 2	132164 198246	
0 0	1 2	3 4	6 9	1 2	4 6	2 3	3 4	6 9	3 4	0	0 1	44	82	164	9	20	17921	11	1	4	1 2	0 1	4 6	1 2	0 1	80000 120000	
1 2	1 2	3 4	2 3	4 6	1 2	2 3	0 1	0 1	2 3	1	21 32	21	39	83	3	5	8796	18	4	4	2 3	1 2	3 4	4 6	4 6	297237 445856	
0 1	1 2	3 4	6 9	3 4	7 10	4 6	1 2	1 2	1 2	0	2 3	36	83	163	8	20	15642	8	5	4	2 3	2 3	4 6	2 3	0 1	86570 129855	
0 1	0 0	0 1	7 10	3 4	4 6	2 3	3 4	4 6	2 3	1	20 31	6	18	24	3	39	4269	7	1	1	4 6	0 1	3 4	1 2	4 6	318723 478084	
1 2	2 3	3 4	4 7	1 2	4 6	2 3	0 0	3 4	2 3	1	23 34	36	61	152	8	44	14141	8	1	4	0 1	4 6	4 6	1 2	4 6	320000 480000	
1 2	2 3	2 3	5 8	4 7	4 7	2 3	3 4	3 4	2 3	1	20 31	43	94	190	10	15	18344	0	4	4	0 1	0 1	4 6	3 4	4 6	289444 434166	
3 4	3 4	2 3	7 10	5 8	4 6	4 6	0 0	6 9	4 6	0	5 8	28	46	101	5	28	10726	5	5	1	1 2	1 2	3 4	4 6	0 1	86065 129098	
0 1	0 1	3 4	3 4	3 4	2 3	4 6	2 3	6 9	4 6	1	18 27	29	48	87	5	38	9977	12	3	2	3 4	0 1	1 2	3 4	3 4	246812 370218	
3 4	0 0	0 1	1 2	6 9	0 1	3 4	0 0	0 1	2 3	1	21 32	46	100	173	10	20	19174	6	3	4	2 3	0 1	2 3	2 3	3 4	259972 389958	
0 1	0 0	0 0	4 6	7 10	4 6	4 6	0 1	2 3	1 2	1	21 32	15	23	49	2	27	5715	6	3	5	4 6	1 2	4 6	3 4	3 4	225373 338060	
2 3	3 4	0 0	2 3	2 3	6 9	3 4	0 0	6 9	0 1	1	20 30	35	70	153	7	20	13345	16	5	1	4 6	1 2	3 4	4 6	4 6	302304 453456	
1 2	0 1	0 1	7 10	7 10	2 3	4 6	2 3	6 9	3 4	1	21 32	22	44	80	5	1	9423	2	5	1	3 4	0 1	2 3	3 4	4 6	290596 435895	
3 4	0 0	1 2	3 4	4 6	7 10	3 4	2 3	4 7	0 1	1	20 31	32	63	119	6	5	12872	8	5	5	4 6	2 3	3 4	4 6	3 4	259988 389982	
0 0	1 2	0 1	1 2	7 10	5 8	0 0	2 3	4 6	0 1	1	18 27	28	59	129	5	15	11428	7	1	1	2 3	1 2	4 6	4 6	3 4	263926 395889	
1 2	3 4	2 3	4 6	7 10	3 4	1 2	1 2	5 8	3 4	0	11 16	17	26	64	4	38	5621	15	1	3	4 6	0 1	4 6	3 4	1 2	111660 167491	
1 2	2 3	0 0	4 7	3 4	5 8	0 1	0 1	3 4	2 3	0	5 8	45	99	200	10	36	19181	15	4	3	3 4	1 2	4 6	3 4	0 1	88487 132730	
1 2	0 1	0 0	4 6	4 6	4 6	1 2	2 3	5 8	3 4	1	21 32	17	34	92	4	23	7868	9	2	5	1 2	1 2	3 4	1 2	3 4	272250 408375	
0 0	0 0	0 0	7 10	5 8	1 2	2 3	2 3	4 7	4 6	1	19 28	15	23	67	3	7	4962	18	2	5	4 6	3 4	3 4	3 4	3 4	226742 340113	
3 4	1 2	1 2	4 7	7 10	7 10	0 1	0 1	4 7	1 2	0	8 12	47	90	161	9	39	17561	14	4	4	4 6	4 6	3 4	3 4	1 2	152616 228925	
2 3	0 0	3 4	2 3	4 6	6 9	1 2	0 0	2 3	2 3	1	19 28	43	91	183	9	5	17643	19	3	1	0 1	2 3	3 4	2 3	3 4	232484 348726	
1 2	3 4	0 0	0 1	8 12	6 9	3 4	0 0	6 9	4 6	1	17 26	11	26	50	2	11	4577	19	4	2	4 6	0 1	2 3	2 3	3 4	225958 338937	
1 2	2 3	0 0	2 3	6 9	4 6	3 4	0 1	4 6	3 4	1	16 25	41	86	163	7	26	15653	8	4	3	3 4	0 1	1 2	3 4	3 4	247631 371446	
0 1	0 1	1 2	4 6	3 4	4 6	2 3	0 1	4 6	3 4	1	17 26	29	49	89	5	9	10745	6	3	5	3 4	3 4	4 6	1 2	3 4	251468 377203	
0 0	0 1	2 3	5 8	3 4	3 4	3 4	1 2	0 1	3 4	1	20 31	39	75	162	8	45	15197	14	3	2	0 1	4 6	3 4	1 2	4 6	320000 480000	
2 3	2 3	0 0	6 9	4 7	8 12	4 6	0 1	4 6	1 2	0	4 6	39	77	157	8	46	16464	17	1	5	3 4	0 1	2 3	4 6	0 1	80000 120000	
1 2	1 2	0 0	6 9	5 8	8 12	3 4	0 0	5 8	3 4	1	24 36	43	82	152	7	19	15821	1	3	1	4 6	1 2	4 6	0 1	4 6	319826 479739	
1 2	2 3	0 0	5 8	1 2	4 6	1 2	2 3	0 1	2 3	1	21 32	36	74	124	7	33	13523	5	5	3	3 4	0 1	2 3	3 4	4 6	320000 480000	
3 4	2 3	2 3	5 8	4 6	3 4	1 2	0 0	0 1	1 2	1	20 30	25	50	95	7	46	11173	12	3	1	0 1	0 1	4 6	4 6	3 4	270482 405723	
0 0	0 1	0 1	4 7	7 10	3 4	2 3	0 0	5 8	3 4	1	23 34	47	84	171	9	23	17928	8	4	5	0 1	3 4	3 4	3 4	4 6	320000 480000	
3 4	3 4	3 4	0 1	1 2	0 1	4 6	1 2	0 1	4 6	0	11 16	38	79	173	8	48	16452	1	5	2	2 3	0 1	4 6	2 3	1 2	120167 180250	
2 3	3 4	1 2	2 3	4 6	8 12	0 1	0 0	6 9	2 3	1	16 24	50	99	199	9	43	19487	1	1	3	2 3	0 1	2 3	2 3	3 4	225258 337887	
1 2	0 0	3 4	0 1	4 6	4 6	3 4	3 4	4 6	1 2	1	16 24	48	96	175	10	20	18758	13	2	4	1 2	0 1	3 4	4 6	2 3	221740 332610	
2 3	3 4	1 2	6 9	3 4	4 6	1 2	3 4	5 8	1 2	0	4 6	44	87	173	9	23	17845	6	3	2	0 1	1 2	4 6	3 4	0 1	80000 120000	
1 2	0 0	0 0	8 12	3 4	4 6	3 4	3 4	5 8	1 2	1	16 25	6	29	50	3	3	3868	20	2	3	3 4	1 2	1 2	2 3	3 4	252272 378409	
0 1	1 2	0 1	8 12	8 12	5 8	3 4	1 2	0 1	2 3	1	24 36	42	78	190	9	8	17204	19	2	4	0 1	2 3	4 6	3 4	4 6	290078 435117	
2 3	3 4	0 1	4 6	3 4	7 10	3 4	3 4	4 7	1 2	1	19 28	29	60	109	4	13	10371	9	4	3	2 3	0 1	3 4	3 4	3 4	280666 420999	
2 3	0 1	0 0	6 9	2 3	0 1	1 2	0 1	1 2	2 3	1	19 28	50	95	200	10	29	19910	14	1	2	0 1	2 3	4 6	0 1	3 4	286514 429771	
1 2	0 1	0 0	5 8	8 12	8 12	3 4	3 4	5 8	0 1	1	22 33	37	78	158	8	39	16867	6	4	2	3 4	2 3	1 2	3 4	4 6	320000 480000	
2 3	0 0	2 3	1 2	5 8	4 6	3 4	0 0	3 4	2 3	1	24 36	18	24	60	4	42	6225	4	5	3	2 3	0 1	3 4	3 4	4 6	304763 457144	
2 3	0 0	1 2	3 4	3 4	8 12	2 3	0 0	0 1	0 1	1	19 28	41	93	188	9	12	17223	5	5	5	4 6	4 6	0 1	3 4	3 4	256093 384140	
2 3	0 0	3 4	6 9	4 6	6 9	2 3	1 2	4 6	2 3	0	11 16	31	68	113	7	40	11680	11	5	5	4 6	0 1	3 4	2 3	1 2	105963 158944	
3 4	1 2	0 1	6 9	7 10	7 10	3 4	0 1	5 8	2 3	0	6 9	42	78	173	8	35	16009	16	4	4	2 3	0 1	4 6	3 4	1 2	139985 209978	
1 2	1 2	3 4	4 7	2 3	4 7	1 2	1 2	1 2	1 2	1	24 36	9	15	39	2	43	3962	6	3	5	1 2	0 1	4 6	2 3	4 6	295954 443931	
2 3	2 3	0 0	5 8	4 7	1 2	0 0	1 2	2 3	4 6	0	13 20	16	32	75	2	12	5591	11	5	5	4 6	0 1	4 6	3 4	1 2	155613 233420	
3 4	0 1	0 1	2 3	6 9	6 9	3 4	1 2	3 4	0 1	1	20 31	35	60	120	7	14	13201	15	1	1	0 1	1 2	4 6	1 2	4 6	294835 442252	
3 4	1 2	1 2	5 8	7 10	0 1	4 6	3 4	5 8	0 1	0	8 12	27	56	129	6	49	12378	19	3	4	3 4	0 1	4 6	3 4	1 2	116753 175130	
0 0	0 0	3 4	5 8	3 4	0 1	0 1	2 3	4 7	2 3	0	6 9	43	76	163	8	22	15126	2	5	3	4 6	1 2	4 6	1 2	0 1	85424 128137	
0 0	2 3	3 4	5 8	7 10	4 6	0 1	0 1	4 7	0 1	1	16 25	43	85	175	8	13	16385	19	4	2	2 3	2 3	4 6	3 4	2 3	220080 330120	
0 0	2 3	3 4	4 7	4 7	2 3	3 4	3 4	5 8	3 4	1	20 31	31	58	104	7	13	12230	18	4	1	3 4	0 1	0 1	2 3	4 6	320000 480000	
2 3	1 2	3 4	6 9	4 6	1 2	4 6	0 1	0 1	4 6	1	17 26	33	54	124	6	41	12748	3	4	4	2 3	0 1	0 1	4 6	3 4	234183 351274	
0 0	3 4	1 2	2 3	7 10	8 12	4 6	0 1	5 8	0 1	0	7 10	50	96	200	10	18	19199	14	2	5	3 4	3 4	3 4	4 6	1 2	146482 219723	
3 4	3 4	0 1	6 9	7 10	5 8	0 0	3 4	4 7	0 1	0	4 6	46	78	186	8	28	17313	5	4	2	3 4	0 1	3 4	1 2	0 1	80000 120000	
3 4	0 0	0 0	0 1	7 10	5 8	0 1	2 3	3 4	2 3	0	10 15	41	88	156	9	6	17531	14	1	5	2 3	1 2	3 4	2 3	1 2	112879 169318	
2 3	1 2	2 3	2 3	8 12	0 1	3 4	3 4	1 2	4 6	0	8 12	23	57	88	5	44	10182	6	1	4	4 6	0 1	4 6	1 2	1 2	100939 151408	
3 4	3 4	0 1	2 3	4 6	4 6	3 4	1 2	4 7	4 6	1	16 25	28	66	128	6	6	11398	16	5	4	4 6	2 3	3 4	4 6	3 4	241500 362251	
1 2	1 2	3 4	0 1	3 4	8 12	0 1	3 4	0 1	0 1	1	19 28	43	84	177	9	45	18661	1	5	5	4 6	1 2	1 2	1 2	3 4	279335 419002	
0 1	0 1	1 2	7 10	2 3	3 4	3 4	0 1	1 2	0 1	1	23 34	37	65	135	8	39	14688	16	3	5	0 1	0 1	2 3	1 2	4 6	315231 472846	
1 2	0 0	3 4	7 10	3 4	3 4	2 3	2 3	3 4	1 2	0	10 15	32	52	112	6	4	12078	6	5	2	3 4	0 1	3 4	4 6	1 2	118648 177973	
3 4	3 4	0 1	5 8	4 7	1 2	0 0	0 0	4 6	1 2	1	16 25	35	57	111	6	10	12335	9	2	3	3 4	0 1	4 6	4 6	2 3	198786 298179	
0 0	2 3	1 2	0 1	7 10	1 2	3 4	0 1	4 7	4 6	1	22 33	38	62	153	6	26	13425	16	4	4	2 3	0 1	0 1	3 4	4 6	320000 480000	
3 4	0 1	0 0	2 3	4 6	1 2	0 1	1 2	3 4	1 2	1	23 34	30	51	134	6	13	11938	7	3	1	1 2	4 6	4 6	1 2	4 6	306823 460234	
3 4	2 3	1 2	7 10	5 8	5 8	0 0	0 0	0 1	4 6	1	22 33	33	72	105	7	12	12480	16	2	4	4 6	0 1	0 1	4 6	4 6	320000 480000	
3 4	0 1	2 3	6 9	4 7	8 12	1 2	0 1	3 4	4 6	0	5 8	42	70	154	8	6	15335	8	4	5	3 4	0 1	0 1	3 4	0 1	80669 121004	
1 2	3 4	2 3	5 8	3 4	0 1	1 2	0 0	6 9	2 3	1	13 20	34	65	108	6	4	12054	13	2	2	4 6	1 2	3 4	2 3	2 3	221966 332949	
2 3	1 2	3 4	4 6	3 4	3 4	1 2	3 4	4 6	2 3	1	18 27	39	96	193	9	10	17336	10	4	1	0 1	1 2	2 3	2 3	3 4	231393 347090	
1 2	0 1	1 2	5 8	4 6	4 7	1 2	0 0	0 1	2 3	0	5 8	46	93	194	9	39	18104	13	2	3	1 2	1 2	3 4	0 1	1 2	109339 164008	
1 2	1 2	0 1	0 1	8 12	3 4	2 3	0 1	6 9	1 2	1	16 24	20	43	106	5	26	8882	8	5	4	2 3	1 2	3 4	2 3	3 4	266330 399495	
2 3	3 4	3 4	2 3	6 9	2 3	1 2	2 3	0 1	4 6	1	23 34	29	51	130	6	16	11638	4	2	5	3 4	1 2	2 3	0 1	4 6	301460 452190	
3 4	0 0	1 2	8 12	2 3	3 4	3 4	0 1	1 2	2 3	1	19 28	38	90	145	8	10	16379	17	3	3	2 3	3 4	4 6	1 2	3 4	285259 427888	
0 1	2 3	0 0	7 10	6 9	0 1	0 1	1 2	1 2	2 3	1	17 26	43	74	170	7	41	15397	12	1	4	1 2	0 1	2 3	2 3	3 4	250039 375058	
0 1	1 2	3 4	6 9	6 9	6 9	1 2	0 0	1 2	3 4	0	8 12	50	89	171	10	9	18563	20	4	5	1 2	0 1	3 4	4 6	0 1	80000 120000	
0 1	2 3	0 1	4 6	8 12	8 12	0 1	2 3	5 8	4 6	1	22 33	37	70	145	7	32	12643	18	5	5	2 3	0 1	0 1	3 4	4 6	318799 478198	
1 2	0 1	1 2	3 4	1 2	7 10	3 4	3 4	5 8	2 3	0	7 10	18	37	84	3	19	7604	9	3	4	3 4	1 2	3 4	4 6	0 1	80000 120000	
2 3	1 2	0 0	4 6	4 7	6 9	0 1	1 2	4 7	4 6	1	20 30	45	90	164	8	19	17278	0	4	3	2 3	1 2	3 4	0 1	3 4	282920 424380	
3 4	0 1	0 0	1 2	8 12	4 6	4 6	2 3	4 6	2 3	0	12 18	39	76	138	7	41	14285	7	5	1	2 3	2 3	4 6	1 2	1 2	111519 167278	
1 2	0 1	0 0	1 2	8 12	7 10	2 3	0 0	2 3	4 6	1	20 30	38	84	166	9	21	16024	2	1	5	1 2	1 2	3 4	1 2	3 4	268380 402571	
3 4	2 3	2 3	8 12	4 6	0 1	2 3	2 3	4 7	1 2	1	19 28	25	47	85	4	5	8990	2	1	5	4 6	1 2	3 4	2 3	3 4	272788 409183	
2 3	2 3	1 2	0 1	7 10	8 12	4 6	1 2	2 3	2 3	1	17 26	34	69	164	9	5	15221	12	4	1	3 4	2 3	4 6	3 4	3 4	265214 397821	
0 1	2 3	2 3	0 1	7 10	4 6	0 1	0 0	3 4	3 4	0	4 6	50	95	197	10	49	19522	3	2	1	3 4	4 6	3 4	4 6	0 1	80000 120000	
3 4	0 1	3 4	1 2	3 4	5 8	0 1	2 3	6 9	1 2	1	20 31	41	74	159	7	44	15839	9	2	2	2 3	2 3	3 4	2 3	3 4	238108 357162	
2 3	1 2	0 0	0 1	3 4	6 9	2 3	0 1	6 9	3 4	1	20 30	43	92	200	9	19	18810	1	4	1	4 6	3 4	1 2	3 4	3 4	242118 363177	
0 0	0 1	0 0	6 9	3 4	0 1	3 4	0 0	4 6	0 1	1	22 33	28	68	124	6	39	12080	15	5	2	3 4	4 6	1 2	4 6	4 6	312185 468278	
0 1	0 1	0 0	8 12	3 4	2 3	1 2	1 2	4 7	2 3	1	21 32	50	99	189	10	10	19588	4	1	4	4 6	1 2	2 3	1 2	3 4	278065 417098	
2 3	2 3	3 4	0 1	6 9	2 3	2 3	0 1	1 2	4 6	1	21 32	4	8	27	1	38	1927	10	1	1	3 4	0 1	0 1	3 4	4 6	320000 480000	
1 2	0 0	3 4	2 3	6 9	3 4	3 4	0 0	4 6	0 1	1	12 19	37	65	161	7	12	14655	14	5	2	3 4	0 1	4 6	0 1	2 3	196201 294302	
0 1	3 4	0 0	4 7	7 10	6 9	4 6	0 0	4 7	4 6	1	21 32	21	29	62	4	27	7683	20	4	5	1 2	0 1	4 6	1 2	4 6	320000 480000	
0 0	0 1	0 0	7 10	1 2	4 7	1 2	2 3	3 4	0 1	1	22 33	34	81	160	7	13	14948	4	1	5	3 4	3 4	4 6	1 2	4 6	320000 480000	
0 1	1 2	2 3	5 8	3 4	4 6	4 6	0 1	5 8	1 2	0	8 12	42	89	183	9	44	16745	19	2	5	3 4	0 1	3 4	2 3	1 2	120298 180447	
1 2	3 4	3 4	2 3	8 12	4 6	2 3	0 1	2 3	1 2	1	21 32	33	57	127	7	3	13272	7	4	3	0 1	3 4	3 4	0 1	3 4	232995 349492	
2 3	2 3	2 3	4 6	2 3	5 8	0 0	3 4	4 6	2 3	1	19 28	48	100	198	10	45	19316	2	2	5	1 2	2 3	3 4	0 1	3 4	281540 422310	
2 3	3 4	0 1	0 1	3 4	4 6	3 4	3 4	2 3	2 3	1	20 30	31	73	119	7	1	13063	9	5	5	0 1	0 1	4 6	1 2	4 6	300162 450243	
0 1	3 4	0 0	4 6	8 12	6 9	0 1	3 4	5 8	2 3	1	22 33	12	27	59	4	19	6263	15	5	3	4 6	0 1	3 4	1 2	4 6	320000 480000	
0 0	2 3	3 4	5 8	3 4	7 10	1 2	0 0	3 4	1 2	1	16 25	19	32	56	4	15	7332	1	2	1	0 1	1 2	3 4	2 3	3 4	237712 356568	
3 4	1 2	0 1	6 9	3 4	1 2	0 0	0 0	2 3	1 2	1	23 34	45	81	158	8	11	17059	1	2	2	2 3	1 2	0 1	3 4	3 4	253986 380979	
1 2	1 2	0 1	6 9	1 2	6 9	0 1	1 2	6 9	1 2	1	16 24	41	67	141	8	50	14560	17	3	3	0 1	1 2	3 4	3 4	3 4	242428 363643	
2 3	2 3	2 3	7 10	3 4	2 3	2 3	0 0	2 3	4 6	1	16 24	42	73	165	8	30	14859	16	4	3	3 4	0 1	0 1	1 2	3 4	265208 397813	
0 0	1 2	1 2	2 3	2 3	3 4	4 6	1 2	1 2	0 1	1	15 22	27	42	74	4	45	8904	20	3	1	0 1	4 6	3 4	3 4	3 4	271586 407379	
0 1	3 4	2 3	6 9	3 4	4 7	1 2	0 1	1 2	2 3	0	9 14	37	86	177	8	48	16806	4	3	5	4 6	1 2	0 1	3 4	1 2	133293 199940	
2 3	0 1	3 4	4 6	4 7	5 8	4 6	1 2	2 3	1 2	1	18 27	29	57	115	6	37	10326	6	1	1	2 3	1 2	4 6	0 1	2 3	172954 259431	
1 2	2 3	1 2	1 2	5 8	4 7	0 0	3 4	2 3	2 3	0	2 3	47	98	200	9	9	19074	19	4	3	2 3	1 2	3 4	0 1	0 1	80000 120000	
2 3	3 4	1 2	5 8	2 3	7 10	4 6	0 0	5 8	1 2	0	8 13	41	90	198	9	19	17861	4	3	2	0 1	1 2	4 6	3 4	1 2	107324 160986	
3 4	2 3	1 2	4 6	8 12	8 12	0 1	0 1	6 9	2 3	1	21 32	45	86	199	9	41	18172	6	3	2	4 6	3 4	4 6	0 1	4 6	320000 480000	
2 3	3 4	0 0	0 1	8 12	4 6	0 1	3 4	1 2	3 4	1	22 33	28	73	126	7	19	12748	19	3	2	0 1	0 1	3 4	4 6	3 4	226524 339786	
3 4	1 2	3 4	5 8	5 8	8 12	2 3	3 4	4 6	0 1	1	20 30	11	29	49	2	2	6512	2	2	2	4 6	0 1	3 4	1 2	3 4	251362 377043	
0 0	0 1	2 3	3 4	2 3	4 6	0 1	2 3	2 3	2 3	1	16 25	34	59	122	6	26	12071	9	4	4	4 6	4 6	0 1	4 6	3 4	275227 412840	
2 3	2 3	3 4	2 3	3 4	3 4	0 1	3 4	0 1	4 6	1	22 33	30	47	110	5	45	10953	19	1	4	4 6	3 4	3 4	2 3	4 6	319424 479136	
0 1	3 4	0 0	7 10	4 7	7 10	0 1	3 4	3 4	1 2	1	22 33	50	100	194	9	8	19788	19	2	3	3 4	4 6	4 6	4 6	3 4	234980 352471	
0 0	3 4	1 2	6 9	5 8	3 4	0 1	0 0	0 1	3 4	1	20 30	25	68	99	6	3	11809	13	5	5	1 2	3 4	3 4	0 1	3 4	236286 354429	
3 4	3 4	0 1	4 7	6 9	7 10	0 1	1 2	3 4	4 6	1	18 27	21	35	82	5	13	8945	11	2	3	1 2	0 1	4 6	2 3	3 4	280293 420440	
0 0	3 4	1 2	5 8	2 3	3 4	1 2	2 3	0 1	1 2	1	16 25	40	76	151	7	37	14073	19	4	5	4 6	1 2	4 6	0 1	3 4	282535 423802	
3 4	0 0	0 0	2 3	4 7	1 2	0 1	0 1	1 2	3 4	1	20 30	39	94	185	9	31	17491	2	3	3	3 4	0 1	2 3	4 6	3 4	250562 375843	
0 0	1 2	2 3	0 1	7 10	4 6	3 4	3 4	0 1	3 4	1	16 25	34	85	166	8	32	15262	3	2	5	1 2	1 2	3 4	3 4	3 4	258454 387681	
2 3	0 0	0 1	0 1	4 7	4 7	0 0	1 2	1 2	2 3	1	18 27	36	64	144	7	26	13860	8	1	2	4 6	4 6	3 4	1 2	3 4	242653 363980	
2 3	1 2	0 1	8 12	1 2	5 8	3 4	2 3	0 1	2 3	0	0 1	31	70	130	6	50	14249	3	4	5	3 4	0 1	3 4	4 6	0 1	80000 120000	
1 2	0 0	0 1	8 12	5 8	2 3	2 3	1 2	2 3	4 6	1	24 36	47	78	175	8	24	17140	3	5	5	4 6	3 4	4 6	0 1	4 6	315621 473432	
0 0	3 4	0 1	7 10	3 4	6 9	4 6	2 3	1 2	2 3	0	0 1	35	55	105	6	41	12511	1	3	3	3 4	0 1	4 6	4 6	0 1	80000 120000	
2 3	0 0	0 0	8 12	5 8	4 7	2 3	3 4	4 6	0 1	1	19 28	41	84	169	8	41	15197	9	1	2	4 6	1 2	4 6	0 1	3 4	276449 414674	
2 3	0 0	3 4	4 7	2 3	2 3	0 1	0 0	1 2	1 2	1	18 27	0	2	10	0	18	516	13	2	4	3 4	1 2	4 6	0 1	3 4	247209 370814	
0 1	2 3	3 4	2 3	8 12	4 7	1 2	2 3	4 7	1 2	1	19 28	33	59	115	6	38	12436	8	5	4	3 4	4 6	2 3	3 4	3 4	267807 401710	
2 3	2 3	1 2	5 8	6 9	8 12	0 1	0 0	4 7	2 3	0	4 7	26	51	123	6	14	11802	20	5	2	0 1	1 2	3 4	4 6	0 1	90485 135728	
1 2	3 4	2 3	4 6	5 8	6 9	3 4	1 2	5 8	1 2	1	20 30	44	91	200	10	49	19188	11	2	1	1 2	0 1	0 1	1 2	3 4	277192 415788	
1 2	3 4	2 3	2 3	4 7	6 9	0 0	0 0	0 1	3 4	1	16 24	34	73	141	8	19	13633	5	2	3	3 4	1 2	2 3	3 4	2 3	202692 304039	
0 1	2 3	3 4	2 3	7 10	4 6	2 3	3 4	3 4	1 2	1	20 30	39	74	145	6	50	14125	7	1	1	1 2	1 2	2 3	0 1	4 6	316166 474249	
